iter	Passed	Remaining
0	67	67568553
1	120	60399659
2	164	54829269
3	209	52277704
4	256	51373965
5	306	51121497
6	351	50149520
7	401	50172359
8	444	49422852
9	481	48115758
10	520	47288663
11	562	46895187
12	602	46345224
13	646	46158757
14	681	45401809
15	717	44858645
16	777	45705296
17	830	46118237
18	883	46513201
19	921	46076532
20	966	46007152
21	1001	45528087
22	1043	45361981
23	1086	45267068
24	1124	44975013
25	1161	44681770
26	1211	44878001
27	1252	44721746
28	1297	44741697
29	1342	44764063
30	1384	44653317
31	1428	44624431
32	1469	44519770
33	1511	44449296
34	1560	44583738
35	1604	44569801
36	1668	45086636
37	1717	45189819
38	1769	45372181
39	1815	45373360
40	1863	45437270
41	1923	45799903
42	1975	45932655
43	2034	46227968
44	2072	46059650
45	2129	46298324
46	2179	46365202
47	2235	46579076
48	2279	46521507
49	2343	46858330
50	2392	46913348
51	2442	46969996
52	2503	47224661
53	2551	47247878
54	2601	47288636
55	2649	47315438
56	2699	47356629
57	2756	47518600
58	2812	47658571
59	2861	47685145
60	2911	47730693
61	2953	47627739
62	2995	47549648
63	3054	47719982
64	3097	47643248
65	3135	47507395
66	3172	47354697
67	3219	47339619
68	3268	47367233
69	3316	47374469
70	3351	47198385
71	3394	47147774
72	3441	47144680
73	3491	47175241
74	3526	47014340
75	3565	46906539
76	3609	46874115
77	3660	46927848
78	3707	46921681
79	3757	46963075
80	3799	46902664
81	3841	46845827
82	3902	47013791
83	3962	47171101
84	4009	47170133
85	4048	47076635
86	4096	47077229
87	4130	46938795
88	4184	47016790
89	4240	47114319
90	4283	47063571
91	4319	46946704
92	4362	46902290
93	4398	46789886
94	4433	46664562
95	4480	46667881
96	4517	46570032
97	4567	46606152
98	4603	46494602
99	4668	46679898
100	4727	46803690
101	4784	46901020
102	4823	46827511
103	4869	46812889
104	4914	46802094
105	4955	46744439
106	4992	46655850
107	5029	46566966
108	5065	46467614
109	5109	46445133
110	5162	46505917
111	5203	46452717
112	5242	46391701
113	5281	46322336
114	5326	46314603
115	5380	46380893
116	5436	46462285
117	5474	46386872
118	5532	46485457
119	5585	46537596
120	5632	46546701
121	5696	46690065
122	5748	46730381
123	5796	46741914
124	5832	46653586
125	5868	46571166
126	5914	46565544
127	5952	46497697
128	5991	46436713
129	6046	46505391
130	6093	46512346
131	6151	46596219
132	6209	46685434
133	6267	46765489
134	6318	46796840
135	6367	46810569
136	6425	46897467
137	6475	46919564
138	6528	46961831
139	6579	46991019
140	6625	46985083
141	6666	46942210
142	6709	46910146
143	6768	46997003
144	6815	46999104
145	6851	46923983
146	6900	46937698
147	6941	46894378
148	6976	46814928
149	7022	46812035
150	7072	46830419
151	7114	46797671
152	7150	46727189
153	7194	46708618
154	7248	46760261
155	7288	46716418
156	7350	46812851
157	7390	46769637
158	7442	46802673
159	7505	46900601
160	7564	46974767
161	7615	47003611
162	7674	47074186
163	7726	47102873
164	7769	47081589
165	7812	47052752
166	7862	47071813
167	7908	47066682
168	7969	47150020
169	8019	47166062
170	8070	47190250
171	8110	47145980
172	8160	47164709
173	8203	47140884
174	8245	47111028
175	8308	47198341
176	8362	47234702
177	8398	47175038
178	8449	47192855
179	8515	47300522
180	8578	47384852
181	8649	47514450
182	8707	47571820
183	8753	47563011
184	8818	47658724
185	8869	47675331
186	8930	47749100
187	8980	47759022
188	9037	47805736
189	9080	47784342
190	9118	47732167
191	9190	47856381
192	9240	47869027
193	9286	47858619
194	9324	47808168
195	9367	47782649
196	9402	47718721
197	9460	47768946
198	9508	47770819
199	9550	47743669
200	9590	47702846
201	9636	47697222
202	9674	47646223
203	9706	47571174
204	9748	47541978
205	9796	47544603
206	9835	47505768
207	9870	47443237
208	9915	47431377
209	9965	47446810
210	10018	47470734
211	10078	47530074
212	10125	47526680
213	10186	47588134
214	10259	47709237
215	10311	47728569
216	10349	47685214
217	10395	47675439
218	10448	47701517
219	10495	47695121
220	10543	47699338
221	10589	47690334
222	10633	47673570
223	10690	47715961
224	10741	47730610
225	10780	47691891
226	10818	47646471
227	10857	47610988
228	10923	47688830
229	10989	47767723
230	11041	47785706
231	11096	47817803
232	11134	47774640
233	11174	47743924
234	11223	47748918
235	11266	47730025
236	11305	47691585
237	11342	47647816
238	11381	47609637
239	11419	47570345
240	11462	47549538
241	11500	47510474
242	11537	47467810
243	11577	47437721
244	11612	47385213
245	11650	47346704
246	11697	47345291
247	11750	47369481
248	11799	47374239
249	11844	47367425
250	11885	47339195
251	11935	47349488
252	11977	47328356
253	12043	47403251
254	12100	47441488
255	12163	47500223
256	12242	47623654
257	12307	47692744
258	12367	47740417
259	12440	47836824
260	12517	47947863
261	12569	47962992
